id	paper	permanent_id	sample_type	latitude	longitude	continent	year_of_sampling_from	year_of_sampling_to	Biome	primers	MAT	MAP	pH	SOC	ITS_total	manipulated	abundances
31972	423	GF04004718S	soil	28.2385	116.956	Asia	2017	2017	cropland	ITS1F/ITS2	19.2	1811	5.3	11.7	67440	0	1
32001	499	GF03009213S	soil	43.3167	124.233	Asia	2017	2017	cropland	ITS86F/ITS4	7	569	7.7	3.9	44376	0	37
32004	499	GF03009211S	soil	43.3167	124.233	Asia	2017	2017	cropland	ITS86F/ITS4	7	569	7.7	3.9	44585	0	10
32005	499	GF03009201S	soil	43.3167	124.233	Asia	2017	2017	cropland	ITS86F/ITS4	7	569	7.7	3.9	82598	0	46
32006	499	GF03009210S	soil	43.3167	124.233	Asia	2017	2017	cropland	ITS86F/ITS4	7	569	7.7	3.9	56000	0	1
32016	470	GF04001212S	soil	-21.3064	-48.3519	South America	2018	2018	grassland	ITS3/ITS4	22.7	1275	5.4	0.2	43558	1	2
32031	470	GF04001217S	soil	-21.3064	-48.3519	South America	2018	2018	grassland	ITS3/ITS4	22.7	1275	5.4	0.2	47032	1	1
32040	99	GF05021996S	air	45.08	-73.38	North America	2011	2011	cropland	ITS5/ITS4	7.7	907	6.1	16.9	14278	0	1
32081	339	GF04020361S	soil	30.961	116.932	Asia	2015	2015	cropland	gITS7/ITS4	16.9	1228	6.4	13.5	4091	0	1
32118	122	GF05019555S	rhizosphere soil	24.26	118.05	Asia	2018	2018	forest	ITS5/ITS2	22.1	1142	6.1	8.9	61141	0	3
32142	770	GF01007905S	soil	43.6167	125.567	Asia	2012	2012	cropland	ITS1/ITS4	5.9	614	6.5	5.2	7035	0	4
32143	439	GF04003399S	soil	47.95	125.89	Asia	2017	2017	cropland	ITS5/ITS2	2.4	515	7.1	5.4	74177	0	6
32163	807	GF01005634S	soil	51.8173	-3.95995	Europe	2013	2014	grassland	ITS5/5.8S_fungi	9.5	1685	5.3	17.3	287506	0	1
32228	275	GF05005243S	soil	47.18	7.4	Europe	2017	2017	cropland	ITS3/ITS4	10.5	1083	6.5	9.3	36952	0	44
32241	298	GF05002924S	soil	42.4108	-85.3729	North America	2018	2018	cropland	ITS1F/ITS4	9.2	882	6.1	10.6	30838	0	7
32253	489	GF03009549S	topsoil	30.58	114.33	Asia	2015	2015	cropland	ITS3/ITS4	17.3	1199	7.1	14.3	29976	0	11
32289	439	GF04003218S	soil	31.03	118	Asia	2017	2017	cropland	ITS5/ITS2	17	1186	6.4	8.9	49054	0	8
32292	606	GF02006782S	soil	38.65	105.77	Asia	2016	2016	grassland	ITS5/ITS2	9.22	218	8.3	0	46955	0	11
32322	114	GF05019961S	rhizosphere soil	52.0425	5.77472	Europe	2012	2012	grassland	ITS9/ITS4	10	832	4.6	18.4	28159	0	2
32342	439	GF04003400S	soil	32.07	114.05	Asia	2017	2017	cropland	ITS5/ITS2	16	1056	6.6	13.6	69683	0	12
